home_ownership,income,dti,fico,loan_status
1,52400,24.64,665,1
1,150000,17.04,785,1
1,100000,20.92,710,1
0,97000,13.11,705,1
1,100000,24.08,685,0
1,76514,12,675,1
1,155000,19.29,700,1
1,86700,34.1,705,0
1,250000,11.47,725,1
0,56000,22.17,685,1
0,74000,16.27,665,1
1,39190,1.56,695,0
1,120000,8.62,665,0
1,110000,13.08,660,1
0,65000,14.68,670,0
1,40600,8.9,780,1
1,28000,12.47,660,0
1,98400,3.16,660,1
1,75000,9.07,700,1
0,154000,15.06,695,1
1,120000,11.06,735,1
1,34000,6.04,670,1
1,60000,18.68,705,0
0,52000,2.15,660,1
1,112000,34.65,675,1
1,150000,13.15,785,1
0,30000,11.75,670,0
0,40000,26.64,700,0
1,89000,12.45,725,1
1,189800,15.35,705,1
0,60000,9.54,695,1
1,82000,19.24,675,1
0,100000,11.17,665,1
0,70000,19.96,660,0
1,76000,20.75,685,1
0,45000,9.04,745,1
0,65000,9.69,675,0
1,115000,17.41,685,1
1,107151.05,1.33,665,1
0,35000,31.24,695,1
0,50000,16.08,660,1
1,75000,19.01,665,0
1,175760,26.25,710,1
0,100000,11.45,695,1
1,149000,17.23,695,1
1,70000,14.33,710,1
0,38000,9.07,695,1
1,90000,12.87,805,1
1,115000,11.52,690,1
0,98000,24.92,680,0
1,58000,35.46,660,1
1,60000,13.6,680,1
0,41500,15.07,660,1
1,180000,8.72,775,1
0,34000,29.58,700,1
1,218000,19.27,680,1
1,72000,17.8,710,1
1,58000,9.54,680,1
0,47000,4.49,700,1
1,80000,24.06,700,1
0,63000,19.75,700,1
1,50000,30.27,670,1
0,105976.21,9.73,705,0
0,60000,26.18,705,0
1,48000,37.05,730,1
1,30000,7.91,780,1
0,35000,16.42,695,1
0,59600,14.56,695,1
1,120000,5.33,755,1
1,76900,26.05,685,1
1,105000,7.97,820,1
1,94000,6.24,835,1
0,52000,22.59,680,1
0,35787,16.1,665,0
1,60000,20.84,740,1
0,70000,16,660,1
1,50000,14.5,690,0
1,49000,23.14,690,1
0,60000,13.81,685,1
0,30000,9.64,675,1
1,28890,21.06,690,1
0,55000,30.5,735,1
1,65000,20.77,685,1
1,104000,25.79,690,1
1,80000,12.19,700,1
1,77876,31.92,690,1
0,64000,21.58,665,1
1,44000,30.47,705,0
0,48000,2.5,660,1
0,50000,26.45,725,1
0,90000,20.76,675,1
1,58000,30.36,690,1
0,35000,4.56,685,1
1,80000,31.95,675,1
0,52500,7.7,675,1
1,148000,20.77,700,0
0,38000,23.34,670,1
0,50000,13.99,670,0
0,65000,15.5,675,0
0,42000,14.54,670,1
1,60000,33.2,740,0
1,140000,15.41,675,1
1,102000,31.91,845,1
1,47000,16.13,685,1
1,90000,5.47,660,1
1,72000,6.9,670,1
0,35000,8.04,715,1
1,59000,13.44,705,1
0,33000,26.74,660,0
1,45000,7.97,770,1
1,65000,27.23,685,0
1,200000,11.87,765,1
1,91200,25.43,675,1
1,30000,17.96,685,1
1,135000,9.64,710,0
1,54282,14.97,740,1
1,93000,16.04,670,1
1,89000,15.53,665,1
1,125000,17.77,690,1
0,37322,13.25,675,1
1,103000,18.63,750,1
1,45149,14.43,790,1
1,65000,2.4,740,1
1,60000,6.94,675,1
0,107000,14.31,690,1
0,63000,16.77,690,0
1,24000,21.65,680,1
0,38600,24.41,675,1
0,85000,13.4,705,0
1,120000,9.47,735,1
0,62000,27.33,680,1
1,60455.9,17.04,685,1
1,62000,15.76,670,0
1,105000,21.81,685,1
0,82000,21.82,740,0
0,45000,10.45,715,1
1,56000,27.97,675,0
1,45000,22.91,685,0
1,60000,23.24,700,0
1,55000,11.03,710,1
1,45000,25.44,730,1
0,210000,7.04,690,1
0,132500,18.01,695,1
0,36000,22.37,690,1
0,120000,16.16,660,1
1,52000,25.41,660,1
0,57000,9.87,670,1
1,55000,31.14,675,1
1,68000,10.73,780,1
0,69000,7.59,730,1
1,103000,11.66,715,1
0,250000,8.72,725,1
0,24000,19.95,660,1
1,240000,16.92,700,1
0,18300,34.93,690,0
0,54000,33.64,690,1
0,57800,17.65,670,1
1,63700,17.41,830,1
0,86000,8.13,685,1
0,25000,27.22,690,1
1,47720,28.8,665,0
1,42000,16.77,715,1
0,48000,30.88,700,0
0,41000,27.66,660,0
0,65000,17.34,725,1
1,56000,12.04,730,1
0,43000,16.02,680,0
1,70000,19.23,660,1
1,141000,10.19,660,1
1,125000,17.17,660,0
1,80000,24.5,680,1
0,80000,18.47,705,1
1,105000,19.33,675,1
1,33886.9,32.91,690,1
1,112000,9.57,755,1
0,90000,16.64,690,1
1,80000,30.55,685,1
1,250000,7.59,805,1
1,65000,18.57,665,1
1,52000,15.42,665,1
0,51521,22.45,675,1
1,53000,30.59,755,1
0,51000,17.25,685,1
1,60000,24.22,765,0
0,40000,13.3,680,1
1,25000,31.16,665,1
1,95256,17.78,665,1
0,39000,19.57,660,0
0,42000,18.76,720,1
1,65000,1.11,705,1
0,85000,5.76,720,1
1,65847,5.01,665,0
0,41600,9.49,680,1
0,40000,33.36,670,0
1,95000,15.28,690,1
0,27000,18.36,680,0
1,61000,10.86,760,1
1,55000,30,775,1
0,152800,12.36,695,0
1,95000,21.49,670,1
1,227000,17.77,665,0
1,120000,9.66,670,1
0,12000,8.9,730,1
1,102000,17.55,725,1
1,60000,26.72,735,1
0,80000,12.06,740,1
0,40000,26.28,680,0
1,35000,1.99,785,1
1,50400,10.04,660,1
1,80800,13.92,670,1
0,41000,29.19,690,1
1,60000,11.62,680,1
1,160000,9.55,670,0
1,70000,20.28,715,0
1,70000,9.14,695,1
1,40000,11.61,715,1
0,35000,29.39,675,1
0,57000,23.66,685,1
0,38000,10.89,700,1
1,80725,20.43,780,1
1,60000,6.6,660,1
1,34000,29.12,670,1
0,47320,11.49,670,1
1,70000,21.36,665,1
0,45000,10.32,700,1
1,86000,11.56,745,1
1,110000,12.78,685,0
0,55300,19.44,675,1
0,36000,13.03,725,0
0,33280,14.42,680,1
0,68000,1.31,690,1
0,50000,15.12,695,0
1,23000,2.61,710,0
0,50000,2.66,760,1
1,38000,27.64,715,1
1,51000,36.64,660,0
1,356000,3.98,700,0
1,99000,32.83,710,1
0,21840,38.79,665,1
0,54000,20.16,705,1
1,68000,31.49,685,0
0,125000,9.93,660,0
0,50000,29.3,685,1
1,168000,8.12,695,1
0,56000,24.52,755,1
1,60000,16.64,670,1
0,68000,34.47,675,1
1,40000,7.26,670,1
1,98000,26.56,690,1
0,55000,10.08,685,1
1,55000,27.12,715,1
1,82000,2.71,670,1
1,52000,15.25,730,1
0,190000,15.71,690,0
1,31000,28.8,665,1
0,120000,5.84,725,1
1,107000,11.96,685,0
1,158000,13.14,660,1
1,120000,15.71,670,1
1,60000,27.08,670,1
0,30000,27.8,695,1
1,70000,20.52,710,1
1,90000,17.39,710,1
1,120000,16.74,715,1
0,89000,8.18,700,1
0,66000,17.82,675,1
1,165000,7.27,690,1
1,102000,13.74,660,1
0,88000,26.41,675,1
1,78000,10.73,710,1
1,65000,18.61,670,1
1,182547,28.13,690,1
1,70000,24.29,695,1
1,75458.13,10.45,705,0
1,100000,17.65,665,1
1,175000,22.71,715,1
1,94000,31.55,675,0
1,88000,10.1,665,0
0,97250,13.46,670,1
0,46000,28.75,695,1
0,80000,4.02,725,1
1,165000,14.61,715,1
0,43000,25.54,685,1
1,150000,22.68,690,1
1,33000,11.16,675,1
1,85000,6.52,675,1
1,46000,27.16,760,1
1,87000,9.85,735,1
0,60000,27.4,765,1
0,120000,12.08,675,1
1,127000,13.59,660,1
0,84000,6.2,660,1
1,30000,2,690,1
0,56000,19.16,695,1
1,57200,32.29,670,1
0,96000,21.5,690,1
1,414000,19.8,720,0
1,135000,10.48,725,1
1,70000,14.88,740,1
0,60000,13.6,740,1
1,28000,28.46,660,0
0,65000,27.6,660,1
1,45000,2.61,665,1
1,15000,25.76,690,1
1,65000,16.67,680,1
0,66000,16.35,665,1
1,105000,23.43,705,1
1,80000,3.31,675,1
1,98220,23.48,660,1
1,64000,3.73,670,0
1,32000,22.43,680,0
1,275000,17.75,730,1
0,52000,25.25,685,0
0,25292,11.44,665,1
0,40920,29.56,680,0
0,60000,12.06,670,0
1,51000,9.01,765,1
1,56000,12.47,680,1
0,145000,28.35,725,1
0,35000,29.8,680,0
0,68000,17.58,725,0
0,32500,22.3,690,1
1,85000,7.77,700,1
0,30000,20.12,690,1
1,72000,10.62,765,1
1,126000,10.42,725,1
1,104000,22.36,665,1
0,80250,11.31,685,1
1,70000,26.63,730,0
0,36000,31.3,710,0
1,77000,19.03,695,1
1,90000,11.35,670,1
0,21000,25.54,680,0
1,73372,25.71,690,1
1,50000,27.22,665,0
1,60000,3.36,670,1
1,74500,5.85,690,1
1,55000,32.4,665,0
0,54000,25,725,1
1,71000,10.01,665,1
0,50000,16.06,660,1
1,112000,5.81,765,1
1,26000,29.32,665,0
1,38000,27.86,675,1
1,126000,3.03,680,1
0,35000,12.95,695,1
0,33000,24.2,705,1
0,112000,17.09,670,1
0,45000,21.59,750,1
0,52000,17.08,685,1
1,77000,32.32,670,1
0,60000,22.13,670,1
0,90000,33.84,690,0
0,50000,23.19,690,1
0,120000,18.28,670,0
1,62000,13.36,660,1
1,165000,11.05,665,1
1,105000,27.09,660,1
1,40000,22.08,665,1
0,125000,15.02,660,1
0,75000,20.35,700,1
1,98000,22.64,745,1
0,65000,18,665,1
0,80000,12.03,665,1
1,55000,28.21,685,1
0,58800,18.53,690,1
1,34444,25.47,665,0
1,49000,22.31,670,0
0,33000,11.42,675,0
0,41000,29.36,695,1
1,75800,22.04,680,1
0,72005,3.92,660,1
1,96000,9.11,660,1
0,42000,12.63,670,1
1,70000,16.99,760,1
0,42000,12.83,665,1
1,85000,26.74,695,0
1,86000,12.48,730,1
1,40000,15.96,665,1
0,29134.23,34.32,680,1
0,35000,14.13,680,1
0,75000,28.48,685,0
1,70000,15.34,670,1
1,175000,5.47,675,1
0,72000,11.97,675,1
1,80000,19.98,670,0
0,85000,6.99,725,1
1,36000,25.37,685,1
1,72000,31.25,715,1
0,55000,16.56,710,1
1,70000,18.99,700,1
1,67000,14.76,740,1
0,59000,24.47,715,1
1,120000,8.11,660,1
1,27900,17.16,715,0
1,75000,10.72,680,1
1,79900,16.39,730,1
1,75000,31.34,695,1
1,74000,21.66,675,1
0,49000,13.59,690,1
0,109000,10.72,695,0
0,51000,25.76,670,1
1,50000,10.33,675,1
0,45000,16.4,705,1
1,52000,19.85,745,1
0,91000,13.6,700,1
0,97000,6.61,760,1
0,50000,20.98,660,1
1,54000,10.82,805,1
1,90000,23.35,665,1
1,65000,22.73,675,1
0,46911.84,33.96,680,0
1,155000,7.63,685,1
1,60000,21.96,665,1
0,80000,7.83,675,1
1,125000,11.69,735,1
1,60000,16.02,675,1
0,50000,31.93,660,0
0,75000,8.38,675,1
1,125000,16.17,700,1
1,98000,19.8,715,1
0,110000,20.51,705,1
0,69500,20.8,665,1
1,117000,27.26,705,1
1,54000,15.16,685,1
1,110000,10.24,685,1
0,38442,29.82,690,0
0,39600,10.48,690,1
1,128000,18.37,680,1
0,57996,13.28,690,1
1,25000,33.8,675,0
1,110000,9.05,780,1
0,34000,26.16,670,0
0,45500,20.97,690,1
1,32000,24.79,700,1
0,22000,29.51,690,1
0,62244,23.05,730,1
1,72000,25.92,670,0
0,64000,20.76,670,1
1,75000,11.28,665,1
1,110000,11.54,715,1
1,55000,20.72,685,1
1,52000,9,660,1
0,120000,16.73,705,1
1,105000,22.91,690,1
1,90000,24.55,660,0
1,65000,22.64,695,1
0,69000,14.99,740,0
0,65000,16.49,725,1
0,85000,6.55,715,1
1,64000,14.49,710,1
0,45000,28.88,660,1
1,25000,18.92,665,1
0,110000,16.71,680,1
1,32122,31.24,660,0
0,160000,10.16,705,1
1,43000,8.93,685,1
1,59000,27.97,675,0
0,30082.88,13.89,670,1
0,54000,8.27,735,1
0,80000,27.03,715,1
1,66000,26.08,700,1
1,35000,24,670,1
1,450000,9.89,725,1
0,165000,3.83,700,1
1,115000,28.48,695,0
1,50004,13.05,735,1
1,71964,29.93,685,1
1,40000,18.66,785,1
1,62700,11.18,685,1
0,80000,25.2,710,0
1,99000,23.6,670,1
1,80000,26.57,670,1
1,76124,19.74,700,1
1,117000,12.22,730,1
1,22000,16.91,700,1
0,65000,17.37,665,1
0,75000,11.44,680,0
0,45000,23.57,670,1
1,86000,18.89,665,1
0,75000,12.51,680,0
1,225000,12.45,800,1
1,38000,2.65,695,1
1,104500,10.02,720,1
0,55000,33.7,730,1
0,37960,30.65,660,1
1,154000,6.87,830,1
1,75000,14.27,700,1
1,80000,20.75,740,1
1,100000,15.06,710,1
0,72000,9.27,660,1
1,76000,17.52,700,1
1,48000,22,730,1
1,30000,25.36,675,1
1,40000,15.48,660,1
1,140000,4.26,810,1
1,45600,35.47,700,0
0,33111,29.87,685,1
1,67000,28.05,670,1
1,50000,18.75,680,1
1,99024,25.08,695,1
1,45000,16.72,700,1
1,50000,25.71,715,1
1,28000,24.82,665,0
0,30000,15.76,670,1
0,20000,20.82,675,1
1,40000,16.68,665,0
1,36000,21,725,1
0,105000,4.86,715,1
1,124152.8,9.02,715,1
1,52000,14.15,665,1
0,50000,24.22,710,1
1,65000,19.85,695,1
0,46000,7.25,660,1
1,99636,10.55,695,1
1,47000,28.32,685,1
0,43000,24.61,680,1
0,42000,8.97,690,1
0,63000,39.39,700,1
0,78000,10.34,740,1
1,150000,27.43,675,1
1,52000,19.38,695,1
1,66000,9.51,680,1
0,74000,14.68,690,1
1,45000,15.33,720,0
0,39000,34.8,670,1
1,98766,21.35,765,1
0,50000,10.03,705,1
0,46000,4.96,675,1
0,57000,13.33,680,1
0,160000,12.26,660,1
0,75000,18.22,660,0
0,144000,21.56,675,1
0,82000,13.79,670,1
1,80000,7.12,670,1
1,45000,27.04,675,1
1,78000,7.79,690,0
1,63000,14.47,745,1
1,97000,6.83,670,0
0,27000,27.34,685,1
1,65000,31.77,690,1
0,45000,9.01,675,0
1,42000,10.08,700,1
1,60000,29.16,690,1
0,72500,30.26,710,1
0,77000,17.92,680,1
1,96000,19.78,710,1
0,35000,12.17,685,1
0,54000,18.22,720,1
1,64000,7.01,710,1
0,80000,34.54,670,0
1,55000,9.78,675,1
0,45493,22.37,670,1
1,84000,26.3,690,1
0,125000,9.36,670,1
0,43000,8.68,695,1
0,16400,10.54,670,1
0,60998,9.42,720,1
1,225000,18.39,690,1
1,86000,8.04,670,1
1,50000,21.24,675,1
1,50000,38.2,675,1
0,56500,22.85,670,1
1,53000,13,740,1
0,45000,11.33,790,1
1,65000,12.35,685,1
0,48000,20.48,705,1
1,200000,14.18,680,0
1,85000,6.75,710,1
1,77000,11.53,715,1
1,91000,20.59,695,0
0,52000,27.64,690,0
0,80000,3.21,660,1
1,55000,32.27,670,0
0,74000,3.91,695,1
1,160000,16.27,695,1
0,25920,25.42,685,1
0,104500,7.75,665,0
0,60000,21.06,660,1
1,110200,13.21,665,1
1,58000,15.35,700,1
1,105000,21.31,665,1
1,45000,8.92,745,1
1,14172,29.97,665,1
1,57000,20.76,700,1
1,97000,6.77,715,1
0,40000,32.85,690,1
1,90000,18.52,665,1
1,210000,3.28,690,1
0,70000,22.65,705,1
0,78000,22.98,670,0
1,41000,22.1,690,1
1,69000,10.09,725,1
1,105000,15.1,695,1
1,44000,4.53,785,1
0,60000,25.2,680,1
0,48000,34,665,0
1,57000,11.67,680,1
1,85000,21.98,660,1
0,56000,3,685,1
1,387706,11.19,695,1
0,42000,10.54,695,0
1,65000,9.49,765,1
1,120000,5.05,745,1
1,150000,19.63,690,0
1,41000,7.79,680,1
0,27000,20.39,660,1
1,120000,7.27,740,0
1,55200,33.03,760,1
0,38000,17.18,685,1
1,142966.77,14.87,695,1
1,160000,8.32,695,1
1,145000,2.79,730,1
1,100000,17.23,695,1
1,83067.2,19.98,715,0
1,51100,13.55,755,1
1,65000,18.42,680,1
0,53000,10.55,715,1
0,45000,4.77,660,1
0,100000,5.2,775,1
1,46000,5.09,715,1
1,75000,10.21,750,1
0,19881,12.98,660,0
0,42000,24.09,670,0
1,85000,0.59,800,1
0,49200,6.59,680,1
0,71600,7.58,690,1
1,45000,35.89,695,1
0,31000,19.01,705,1
1,65000,11.93,660,0
1,62730,28.36,715,1
0,30000,22.92,675,1
0,25200,23.95,730,1
0,50000,20.74,670,1
1,37250,18.1,750,0
1,80796,20.96,670,1
0,18000,16.87,720,1
1,80000,8.91,735,1
1,50000,9.6,690,1
0,35000,14.95,660,0
1,53000,19.29,765,1
0,60000,12.44,715,1
1,65000,15.95,685,1
1,50000,31.3,710,1
0,22700,18.88,685,0
1,65000,24.28,780,1
0,85895.68,19.93,725,1
1,110000,6.72,695,1
1,75000,20.05,660,0
1,54000,26.11,670,1
1,95000,2.85,685,1
1,96000,2.13,700,1
1,90000,27.47,675,1
1,91000,23.06,710,1
0,47000,9.47,695,1
1,56000,32.21,660,0
1,80000,29.04,675,0
1,49776,15.38,695,1
0,35000,17.35,680,1
1,260000,11.74,705,1
0,50000,10.39,705,1
1,58000,11.86,695,0
0,47000,27.14,690,0
1,389000,19.94,795,1
1,63000,25.26,725,1
1,150000,12.32,685,1
0,41350,6.33,690,1
1,96000,7.39,725,1
0,63000,18.65,710,1
1,36000,33.73,695,1
1,67600,28.4,665,1
1,108000,26.08,670,0
0,41750,20.29,695,1
1,77000,3.18,695,1
1,35000,31.58,705,1
1,76000,9.21,790,1
1,86274,20.27,680,0
0,82599,24.32,670,1
0,50000,18.24,705,1
1,85000,11.34,750,0
1,46800,19.92,670,1
0,49000,19.98,685,1
1,80000,12.57,660,0
1,109000,6.89,710,1
1,140000,34.73,720,1
0,75000,13.46,710,1
1,180000,14.71,750,1
1,150000,9.37,780,1
1,60000,19.48,665,0
1,72000,9.7,675,1
1,88000,25.61,680,1
1,95000,15.64,665,1
0,73000,17.28,715,1
1,125000,22.32,695,1
1,50000,21,680,0
1,49000,12.29,665,1
1,101000,23.68,715,1
1,60000,19.42,700,1
1,95000,15.46,760,1
0,54000,13.49,705,1
0,50000,1.61,665,1
1,172000,10.62,670,0
1,42600,14.66,705,0
1,35000,8.64,685,0
0,56000,23.43,715,1
1,91223,5.55,690,1
1,115000,18.08,725,1
1,145000,18.14,685,1
1,65000,33.05,660,0
0,30000,34.16,680,0
0,71000,20.47,665,0
0,30000,22.8,670,1
1,50000,18.6,670,0
0,39000,20.25,685,1
0,45888,15.01,705,1
0,27456,21.9,675,0
1,109500,19.52,725,1
1,90000,14.15,685,1
1,75000,5.95,665,1
1,59000,24.98,660,0
0,175000,18.84,670,1
1,72000,16.75,735,1
1,80000,25.82,695,1
0,25459,30.83,680,1
1,63000,25.39,665,1
1,90000,11.6,720,1
1,50000,10.08,665,1
0,30000,10.56,695,1
1,38000,29.44,665,1
1,92000,14.88,680,1
1,120000,33.79,720,1
0,80000,23.49,680,1
1,100000,18.14,710,0
0,100800,4.65,665,1
0,39996,9.96,695,1
0,95000,15.88,685,0
1,120000,26.44,665,1
0,44000,26.19,675,0
1,61000,34.84,670,1
1,40000,19.11,720,1
1,40000,18.36,680,1
0,57000,7.26,710,1
1,90000,24.47,715,1
0,42000,23.6,660,0
0,30000,33.52,695,1
1,165000,14.24,690,1
1,64000,23.63,700,1
1,50000,19.68,700,1
1,67000,16.78,705,1
1,260000,23.43,670,1
1,45000,12.77,720,1
1,60000,19.04,665,0
0,55000,29.26,670,1
1,42500,25.33,675,0
1,33600,16.82,735,0
0,45000,14.8,675,0
1,64000,29.86,695,0
1,62500,33.72,685,1
0,88000,10.58,690,0
1,38000,32.34,670,1
0,95000,25.04,675,1
